City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Severomuysk,RU,2022-07-26 20:29:50,56.1481,113.4267,55.53,89,100,3.62,light rain
131,Beloha,MG,2022-07-26 20:29:50,-25.1667,45.05,60.55,79,0,2.62,clear sky
132,Klaksvik,FO,2022-07-26 20:29:51,62.2266,-6.589,52.72,75,88,8.99,overcast clouds
133,Paris,FR,2022-07-26 20:26:45,48.8534,2.3488,69.37,60,0,9.22,clear sky
134,Liwale,TZ,2022-07-26 20:29:52,-9.7667,37.9333,64.63,61,59,2.86,broken clouds
135,Cherskiy,RU,2022-07-26 20:29:53,68.75,161.3,44.42,62,5,11.14,clear sky
136,Coihaique,CL,2022-07-26 20:29:53,-45.5752,-72.0662,35.55,75,100,4.61,overcast clouds
137,Saint George,US,2022-07-26 20:29:54,37.1041,-113.5841,91.44,42,0,8.05,clear sky
138,Tual,ID,2022-07-26 20:29:54,-5.6667,132.75,78.94,81,44,23.15,scattered clouds
139,Vila Velha,BR,2022-07-26 20:29:55,-20.3297,-40.2925,75.15,82,20,6.91,few clouds
140,Nome,US,2022-07-26 20:29:56,64.5011,-165.4064,45.16,76,100,24.16,overcast clouds
141,Umm Lajj,SA,2022-07-26 20:29:56,25.0213,37.2685,86.09,69,10,6.73,clear sky
142,General Roca,AR,2022-07-26 20:29:57,-39.0333,-67.5833,45.7,95,100,11.92,overcast clouds
143,Jalu,LY,2022-07-26 20:29:58,29.0331,21.5482,87.49,32,5,15.46,clear sky
144,Tuatapere,NZ,2022-07-26 20:29:59,-46.1333,167.6833,44.33,95,100,9.01,overcast clouds
145,Mazyr,BY,2022-07-26 20:29:59,52.0495,29.2456,65.75,65,86,4.61,overcast clouds
146,Suntar,RU,2022-07-26 20:30:00,62.1444,117.6319,68.54,86,1,4.7,clear sky
147,Adre,TD,2022-07-26 20:30:01,13.4667,22.2,75.72,68,87,5.7,light rain
148,Butaritari,KI,2022-07-26 20:30:01,3.0707,172.7902,82.18,74,11,19.37,few clouds
149,Amapa,BR,2022-07-26 20:30:02,1.0,-52.0,75.06,96,84,3.06,broken clouds
150,Pangai,TO,2022-07-26 20:30:03,-19.8,-174.35,75.9,65,99,14.47,overcast clouds
151,Lavrentiya,RU,2022-07-26 20:30:04,65.5833,-171.0,39.24,88,100,13.82,overcast clouds
152,Colares,PT,2022-07-26 20:30:05,38.7992,-9.4469,73.08,72,20,23.0,few clouds
153,Faanui,PF,2022-07-26 20:30:05,-16.4833,-151.75,77.58,74,64,10.25,broken clouds
154,Deputatskiy,RU,2022-07-26 20:30:06,69.3,139.9,53.11,65,55,4.18,broken clouds
155,Bethel,US,2022-07-26 20:27:26,41.3712,-73.414,83.66,50,0,11.5,clear sky
156,Aykhal,RU,2022-07-26 20:30:07,66.0,111.5,67.71,73,96,8.41,overcast clouds
157,San Patricio,US,2022-07-26 20:30:08,28.017,-97.5169,97.52,39,37,15.46,scattered clouds
158,Ozark,US,2022-07-26 20:30:09,37.0209,-93.206,104.81,32,90,0.74,light rain
159,Mahebourg,MU,2022-07-26 20:30:11,-20.4081,57.7,69.26,88,40,6.91,scattered clouds
160,Barrow,US,2022-07-26 20:27:37,71.2906,-156.7887,35.62,93,100,17.27,moderate rain
161,Qaanaaq,GL,2022-07-26 20:30:12,77.484,-69.3632,44.02,64,23,4.25,few clouds
162,Jardim,BR,2022-07-26 20:30:12,-21.4803,-56.1381,84.65,26,0,3.87,clear sky
163,Altay,CN,2022-07-26 20:30:13,47.8667,88.1167,59.94,46,0,4.05,clear sky
164,Medicine Hat,CA,2022-07-26 20:30:14,50.0501,-110.6683,78.22,46,75,4.61,broken clouds
165,Muros,ES,2022-07-26 20:30:15,42.7762,-9.0603,69.67,69,5,14.32,clear sky
166,La Ronge,CA,2022-07-26 20:30:15,55.1001,-105.2842,68.22,64,75,13.8,broken clouds
167,Kambove,CD,2022-07-26 20:30:16,-10.8764,26.5969,59.52,49,8,4.99,clear sky
168,Yar-Sale,RU,2022-07-26 20:30:16,66.8333,70.8333,48.15,89,100,8.28,overcast clouds
169,Port Alfred,ZA,2022-07-26 20:30:17,-33.5906,26.891,65.62,48,16,5.77,few clouds
170,Cayenne,GF,2022-07-26 20:25:36,4.9333,-52.3333,85.08,22,100,5.75,overcast clouds
171,Iqaluit,CA,2022-07-26 20:28:22,63.7506,-68.5145,51.53,71,20,6.91,few clouds
172,Isla Vista,US,2022-07-26 20:30:18,34.4133,-119.861,89.26,37,2,7.38,clear sky
173,Zafra,ES,2022-07-26 20:30:19,38.4167,-6.4167,77.05,36,0,15.05,clear sky
174,Ahipara,NZ,2022-07-26 20:30:19,-35.1667,173.1667,56.52,75,98,15.32,overcast clouds
175,Zhicheng,CN,2022-07-26 20:30:20,30.2956,111.5047,79.63,95,100,3.83,overcast clouds
176,Abu Samrah,SY,2022-07-26 20:30:20,35.3029,37.1841,78.82,42,0,7.49,clear sky
177,Balabac,PH,2022-07-26 20:30:21,7.9868,117.0645,80.64,79,95,6.67,overcast clouds
178,Georgetown,MY,2022-07-26 20:28:12,5.4112,100.3354,81.95,90,20,2.3,thunderstorm
179,Makakilo City,US,2022-07-26 20:30:21,21.3469,-158.0858,79.12,68,75,14.97,broken clouds
180,Bayan,CN,2022-07-26 20:30:22,46.0833,127.4,70.56,97,16,4.23,few clouds
181,Catamarca,AR,2022-07-26 20:30:23,-28.4696,-65.7852,79.77,51,55,1.01,broken clouds
182,Bilma,NE,2022-07-26 20:30:24,18.6853,12.9164,93.2,11,32,7.61,scattered clouds
183,Balkanabat,TM,2022-07-26 20:30:24,39.5108,54.3671,87.48,39,5,4.88,clear sky
184,Livingston,GB,2022-07-26 20:30:25,55.9029,-3.5226,60.28,63,0,4.61,clear sky
185,Jinhua,CN,2022-07-26 20:30:25,29.1078,119.6547,75.45,81,17,2.01,few clouds
186,Lata,PT,2022-07-26 20:30:27,40.1629,-8.3327,58.55,86,0,3.36,clear sky
187,Norman Wells,CA,2022-07-26 20:30:28,65.282,-126.8329,82.44,32,75,6.91,broken clouds
188,Lebu,CL,2022-07-26 20:27:13,-37.6167,-73.65,53.87,77,3,17.47,clear sky
189,Kavieng,PG,2022-07-26 20:30:28,-2.5744,150.7967,82.45,71,96,12.59,overcast clouds
190,Katsuura,JP,2022-07-26 20:30:29,35.1333,140.3,79.65,90,80,13.35,broken clouds
191,Yulara,AU,2022-07-26 20:29:22,-25.2406,130.9889,42.35,59,0,9.15,clear sky
192,Llanes,ES,2022-07-26 20:30:30,43.4198,-4.7549,65.64,78,48,0.94,scattered clouds
