City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Ribeira Grande,PT,38.5167,-28.7,77.4,83,40,12.66,scattered clouds
114,Pingliang,CN,35.5392,106.6861,62.83,85,0,3.09,clear sky
115,Yellowknife,CA,62.456,-114.3525,62.56,59,96,4.0,overcast clouds
116,Kodiak,US,57.79,-152.4072,50.0,78,63,1.16,broken clouds
117,Fortuna,US,40.5982,-124.1573,59.94,86,69,1.99,broken clouds
118,Alice Springs,AU,-23.7,133.8833,44.15,53,0,0.0,clear sky
119,Klaksvik,FO,62.2266,-6.589,52.72,85,99,9.78,overcast clouds
120,Yeppoon,AU,-23.1333,150.7333,58.78,84,68,8.77,broken clouds
121,Constantine,DZ,36.365,6.6147,96.21,24,20,16.11,few clouds
122,Kahului,US,20.8947,-156.47,76.84,85,2,7.0,clear sky
123,Aksay,RU,47.26,39.87,75.25,47,48,11.01,scattered clouds
124,Kuala Terengganu,MY,5.3302,103.1408,79.65,82,70,0.58,broken clouds
125,Uglekamensk,RU,43.2172,133.2303,64.04,99,100,2.33,overcast clouds
126,Suarez,CO,2.954,-76.6964,80.56,61,98,2.24,overcast clouds
127,Ola,RU,59.5833,151.2833,54.19,83,17,1.36,few clouds
128,Casper,US,42.8666,-106.3131,89.73,17,0,8.01,clear sky
129,San Jeronimo,PE,-11.9472,-75.2829,61.65,25,35,3.02,scattered clouds
130,Airai,TL,-8.9266,125.4092,52.25,77,78,2.28,broken clouds
131,Tanout,NE,14.9709,8.8879,95.74,29,87,5.37,overcast clouds
132,Atuona,PF,-9.8,-139.0333,76.96,76,2,15.28,clear sky
133,Souillac,MU,-20.5167,57.5167,70.11,79,28,15.75,scattered clouds
134,Bull Savanna,JM,17.8868,-77.5902,88.18,57,3,16.58,clear sky
135,Champerico,GT,14.3,-91.9167,82.81,75,86,6.64,overcast clouds
136,La Ronge,CA,55.1001,-105.2842,53.55,73,100,2.44,overcast clouds
137,Broome,US,42.2506,-75.833,87.19,54,3,5.99,clear sky
138,Cognac,FR,45.5,-0.25,75.97,64,100,17.27,overcast clouds
139,Shingu,JP,33.7333,135.9833,73.58,85,0,5.5,clear sky
140,Puri,IN,19.8,85.85,82.92,83,100,8.19,overcast clouds
141,Dikson,RU,73.5069,80.5464,53.29,73,100,10.83,overcast clouds
142,Santa Rosa,PH,14.3122,121.1114,83.01,78,51,5.35,broken clouds
143,Zalantun,CN,48.0,122.7167,64.83,97,71,4.94,broken clouds
144,Igarka,RU,67.4667,86.5833,59.2,75,99,8.61,overcast clouds
145,Grand-Lahou,CI,5.1367,-5.0242,78.71,66,96,7.0,overcast clouds
