City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
391,Sagaing,MM,84.92,few clouds,21.8787,95.9797,Makara Cruise
393,Chulumani,BO,76.51,scattered clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
396,Safaga,EG,87.37,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
398,Rodrigues Alves,BR,79.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
399,Totness,SR,81.46,few clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
401,Ashland,US,78.89,overcast clouds,40.8167,-82.2665,SureStay
402,Aitape,PG,77.27,broken clouds,-3.1374,142.3475,
403,Praxedis Guerrero,MX,89.06,clear sky,31.3667,-106.0167,Congregación placitas de Otero
406,Conceicao Do Araguaia,BR,86.52,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
410,Sadat,IN,87.66,moderate rain,25.6833,83.2833,Tuntun Niwas
415,Tuy Hoa,VN,76.21,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
416,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
419,Guiyang,CN,77.49,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
423,Canico,PT,79.43,few clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
424,Indianola,US,85.87,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
425,Yarmouth,US,82.62,few clouds,41.7057,-70.2286,Blue Rock Resort
426,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
427,San Juan De Los Morros,VE,78.44,few clouds,9.9115,-67.3538,Hotel La Montaña
428,Broome,US,80.19,few clouds,42.2506,-75.833,Chenango Valley State Park
430,Muroto,JP,80.44,few clouds,33.2833,134.15,Oota Ryokan
432,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
434,Glendive,US,80.22,broken clouds,47.1053,-104.7125,Super 8 by Wyndham Glendive
436,Manjeshwar,IN,77.95,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
439,Mandapam,IN,82.74,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
